time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
10688.9,0,0,0,8,8
10688.9,0,0,0,0,16
10861.8,0,0,0,8,8
10861.8,0,0,0,16,0
10861.8,0,0,0,0,16
10966.7,0,0,0,16,0
10966.7,0,0,0,8,8
10966.7,0,0,0,4,12
10966.7,0,0,0,0,16
11055.3,0,0,0,4,12
11055.3,0,0,0,0,16
11104.9,0,0,0,4,12
11139.6,0,0,0,12,4
11192.5,0,0,0,16,0
11192.5,0,0,0,0,16
11306.5,0,0,0,16,0
11306.5,0,0,0,8,8
11306.5,0,0,0,4,12
11306.5,0,0,0,0,16
11395.1,0,0,0,4,12
11395.1,0,0,0,8,8
11395.1,0,0,0,0,16
11479.4,0,0,0,8,8
11479.4,0,0,0,4,12
11479.4,0,0,0,0,16
11568,0,0,0,8,8
11617.6,0,0,0,12,4
11617.6,0,0,0,16,0
11617.6,0,0,0,0,16
11731.4,0,0,0,16,0
11731.4,0,0,0,8,8
11731.4,0,0,0,0,16
11902.2,0,0,0,8,8
11902.2,0,0,0,16,0
11902.2,0,0,0,8,8
11902.2,0,0,0,0,16
12073,0,0,0,8,8
12075.1,0,0,0,16,0
12075.1,0,0,0,0,16
12188.9,0,0,0,16,0
12188.9,0,0,0,0,16
12302.7,0,0,0,16,0
12302.7,0,0,0,8,8
12302.7,0,0,0,4,12
12302.7,0,0,0,0,16
12391.3,0,0,0,4,12
12391.3,0,0,0,8,8
12391.3,0,0,0,4,12
12391.3,0,0,0,0,16
12475.7,0,0,0,8,8
12528.6,0,0,0,12,4
12528.6,0,0,0,16,0
12528.6,0,0,0,0,16
12642.4,0,0,0,16,0
12642.4,0,0,0,0,16
12747.2,0,0,0,16,0
12747.3,0,0,0,8,8
12747.3,0,0,0,0,16
12920.2,0,0,0,8,8
12920.2,0,0,0,16,0
12920.2,0,0,0,8,8
12920.2,0,0,0,0,16
13091,0,0,0,8,8
13091,0,0,0,16,0
13091,0,0,0,8,8
13091,0,0,0,4,12
13091,0,0,0,0,16
13228.2,0,0,0,4,12
13228.3,0,0,0,8,8
13261.8,0,0,0,16,0
13261.8,0,0,0,0,16
13366.7,0,0,0,16,0
13366.7,0,0,0,12,4
13366.7,0,0,0,8,8
13366.7,0,0,0,0,16
13504.8,0,0,0,4,12
13504.8,0,0,0,8,8
13504.8,0,0,0,0,16
13537.5,0,0,0,8,8
13537.5,0,0,0,0,16
13675.6,0,0,0,8,8
13675.6,0,0,0,4,12
13675.6,0,0,0,0,16
13710.4,0,0,0,8,8
13710.4,0,0,0,0,16
13764.2,0,0,0,4,12
13764.2,0,0,0,0,16
13812.9,0,0,0,4,12
13883.4,0,0,0,12,4
13901.5,0,0,0,16,0
13901.5,0,0,0,0,16
14015.3,0,0,0,16,0
14015.3,0,0,0,8,8
14015.3,0,0,0,4,12
14015.3,0,0,0,0,16
14103.9,0,0,0,4,12
14103.9,0,0,0,0,16
14152.5,0,0,0,4,12
14186.1,0,0,0,12,4
14242,0,0,0,16,0
14242,0,0,0,0,16
14356,0,0,0,16,0
