time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
12045.9,0,0,0,8,8
12048.1,0,0,0,16,0
12048.1,0,0,0,0,16
12161.9,0,0,0,16,0
12161.9,0,0,0,8,8
12161.9,0,0,0,0,16
12332.7,0,0,0,8,8
12332.7,0,0,0,0,16
12334.8,0,0,0,8,8
12334.8,0,0,0,4,12
12334.8,0,0,0,0,16
12423.4,0,0,0,4,12
12423.4,0,0,0,0,16
12472.1,0,0,0,4,12
12472.1,0,0,0,0,16
12503.5,0,0,0,8,8
12560.6,0,0,0,12,4
12610.2,0,0,0,16,0
12610.2,0,0,0,0,16
12724,0,0,0,16,0
12724,0,0,0,0,16
12837.8,0,0,0,16,0
12837.8,0,0,0,8,8
12837.8,0,0,0,0,16
13010.8,0,0,0,8,8
13010.8,0,0,0,16,0
13010.8,0,0,0,0,16
13124.6,0,0,0,16,0
13124.6,0,0,0,0,16
13229.5,0,0,0,16,0
13229.5,0,0,0,8,8
13229.5,0,0,0,0,16
13400.3,0,0,0,8,8
13400.3,0,0,0,0,16
13402.4,0,0,0,8,8
13402.4,0,0,0,0,16
13571.1,0,0,0,8,8
13573.2,0,0,0,16,0
13573.2,0,0,0,0,16
13678.1,0,0,0,16,0
13678.1,0,0,0,8,8
13678.1,0,0,0,0,16
13848.9,0,0,0,8,8
13848.9,0,0,0,16,0
13848.9,0,0,0,8,8
13848.9,0,0,0,0,16
14021.8,0,0,0,8,8
14021.8,0,0,0,16,0
14021.8,0,0,0,0,16
14135.6,0,0,0,16,0
14135.6,0,0,0,8,8
14135.6,0,0,0,0,16
14306.4,0,0,0,8,8
14308.6,0,0,0,16,0
14308.6,0,0,0,0,16
14422.5,0,0,0,16,0
14422.5,0,0,0,8,8
14422.5,0,0,0,0,16
14593.3,0,0,0,8,8
14593.3,0,0,0,4,12
14593.3,0,0,0,0,16
14595.5,0,0,0,8,8
14681.9,0,0,0,12,4
14681.9,0,0,0,16,0
14681.9,0,0,0,0,16
14795.8,0,0,0,16,0
14795.8,0,0,0,0,16
14900.7,0,0,0,16,0
14900.7,0,0,0,12,4
14900.7,0,0,0,8,8
14900.7,0,0,0,0,16
14989.3,0,0,0,4,12
15038.9,0,0,0,8,8
15038.9,0,0,0,0,16
15073.7,0,0,0,8,8
15073.7,0,0,0,4,12
15073.7,0,0,0,0,16
15162.3,0,0,0,4,12
15209.7,0,0,0,12,4
15210.9,0,0,0,16,0
15210.9,0,0,0,0,16
15315.8,0,0,0,16,0
15315.8,0,0,0,0,16
15429.7,0,0,0,16,0
15429.8,0,0,0,8,8
15429.8,0,0,0,4,12
15429.8,0,0,0,0,16
15518.3,0,0,0,4,12
15518.3,0,0,0,8,8
15518.3,0,0,0,4,12
15600.6,0,0,0,12,4
15606.9,0,0,0,16,0
15606.9,0,0,0,0,16
15720.7,0,0,0,16,0
15720.7,0,0,0,8,8
15720.7,0,0,0,0,16
15893.7,0,0,0,8,8
15893.7,0,0,0,16,0
15893.7,0,0,0,0,16
16007.6,0,0,0,16,0
16007.6,0,0,0,0,16
16121.5,0,0,0,16,0
16121.5,0,0,0,0,16
16226.4,0,0,0,16,0
16226.4,0,0,0,0,16
16340.2,0,0,0,16,0
16340.2,0,0,0,0,16
16445.1,0,0,0,16,0
16445.1,0,0,0,8,8
16445.1,0,0,0,0,16
16615.9,0,0,0,8,8
16618.1,0,0,0,16,0
