time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
10134.6,0,0,0,0,64
10138.9,0,0,0,8,56
10138.9,0,0,0,0,64
10166.7,0,0,0,8,56
10166.7,0,0,0,0,64
10234.1,0,0,0,8,56
10234.1,0,0,0,0,64
10305.4,0,0,0,8,56
10305.4,0,0,0,0,64
10309.7,0,0,0,8,56
10309.7,0,0,0,0,64
10337.5,0,0,0,8,56
10337.6,0,0,0,0,64
10372.3,0,0,0,32,32
10372.3,0,0,0,16,48
10372.3,0,0,0,0,64
10404.9,0,0,0,8,56
10476.2,0,0,0,16,48
10477.2,0,0,0,32,32
10482.7,0,0,0,40,24
10486.2,0,0,0,56,8
10510.5,0,0,0,64,0
10510.5,0,0,0,0,64
10589.2,0,0,0,64,0
10589.2,0,0,0,0,64
10667.8,0,0,0,64,0
10667.8,0,0,0,48,16
10667.8,0,0,0,32,32
10667.8,0,0,0,16,48
10667.8,0,0,0,0,64
10781.6,0,0,0,16,48
10781.6,0,0,0,32,32
10781.6,0,0,0,48,16
10781.8,0,0,0,64,0
10781.8,0,0,0,0,64
10860.4,0,0,0,64,0
10860.4,0,0,0,48,16
10860.4,0,0,0,32,32
10860.4,0,0,0,16,48
10860.4,0,0,0,0,64
10965.3,0,0,0,16,48
10965.3,0,0,0,32,32
10965.3,0,0,0,0,64
10974.2,0,0,0,16,48
10974.2,0,0,0,32,32
10974.2,0,0,0,16,48
10974.2,0,0,0,0,64
11088.2,0,0,0,16,48
11088.2,0,0,0,0,64
11088.2,0,0,0,16,48
11088.2,0,0,0,0,64
11193,0,0,0,16,48
11193,0,0,0,0,64
11193,0,0,0,16,48
11193.1,0,0,0,0,64
11306.9,0,0,0,16,48
11306.9,0,0,0,0,64
11307,0,0,0,16,48
11307,0,0,0,0,64
11420.8,0,0,0,16,48
11420.8,0,0,0,0,64
11420.9,0,0,0,16,48
11420.9,0,0,0,0,64
11525.7,0,0,0,16,48
11525.7,0,0,0,0,64
11534.7,0,0,0,16,48
11534.7,0,0,0,8,56
11534.7,0,0,0,0,64
11630.6,0,0,0,16,48
11630.6,0,0,0,8,56
11630.6,0,0,0,0,64
11705.5,0,0,0,8,56
